FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
1985292,Wolf Pass Falls,Falls,AK,2,Prince of Wales-Hyder (CA),198,55.7338889,-132.8569444
1415364,Tonowek Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.735,-133.4047222
1407716,Pad Island,Island,AK,2,Aleutians East,13,55.7355556,-159.6875
1419041,Pinnacle Peak,Summit,AK,2,Aleutians East,13,55.7355556,-160.7463889
1985522,Cutthroat Lakes,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7361544,-132.8326169
1424011,Nossuk Anchorage,Harbor,AK,2,Prince of Wales-Hyder (CA),198,55.7363889,-133.3380556
1423666,Meyers Stream,Stream,AK,2,Wrangell,275,55.7369444,-132.2444444
1939962,Prince of Wales Census Subarea,Civil,AK,2,Prince of Wales-Hyder (CA),198,55.7373042,-133.2972716
1418639,Gravel Point,Cape,AK,2,Aleutians East,13,55.7377778,-160.7155556
1418841,Lawrence Valley,Valley,AK,2,Aleutians East,13,55.7392684,-160.6525202
2759292,Meyers Chuck Post Office,Post Office,AK,2,Wrangell,275,55.7397568,-132.2612115
1421094,Cleveland Peninsula,Cape,AK,2,Wrangell,275,55.7402778,-132.0144444
1423665,Meyers Island,Island,AK,2,Wrangell,275,55.7405556,-132.2627778
2418710,Meyers Chuck Census Designated Place (historical),Census,AK,2,Wrangell,275,55.7405621,-132.25487
1423664,Meyers Chuck,Populated Place,AK,2,Wrangell,275,55.7408333,-132.2563889
1417851,Meyers Chuck Seaplane Base,Airport,AK,2,Wrangell,275,55.7413239,-132.2591951
1414894,South Mount,Summit,AK,2,Wrangell,275,55.7413889,-132.1394444
1418840,Lawrence Creek,Stream,AK,2,Aleutians East,13,55.7422222,-160.6552778
1420179,Back Chuck,Bay,AK,2,Wrangell,275,55.7425,-132.2563889
1424745,Raso Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7443072,-133.6810937
1415367,Tonowek Ridge,Cliff,AK,2,Prince of Wales-Hyder (CA),198,55.7447222,-133.4055556
1422911,Kaguk Cove,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.745,-133.2880556
1423663,Meyers Chuck,Bay,AK,2,Wrangell,275,55.7455556,-132.2647222
1415325,Timber Knob,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.7466667,-133.5675
1415617,Warm Chuck Inlet,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7486111,-133.4813889
1421389,Dead Tree Point,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7486111,-133.6613889
1418285,Buck Valley,Valley,AK,2,Aleutians East,13,55.7488912,-160.8273723
1414611,Shaheen Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7491667,-133.2527778
1415604,Walker Lake,Lake,AK,2,Ketchikan Gateway,130,55.7495626,-130.5910423
1415551,Verdure Point,Cape,AK,2,Ketchikan Gateway,130,55.7497222,-130.1697222
1422363,Gull Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.75,-133.7402778
1422496,Mount Hayford,Summit,AK,2,Ketchikan Gateway,130,55.7502778,-130.2858333
1847215,Guktu Point,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7502778,-133.2858333
1420972,Channel Islands,Island,AK,2,Ketchikan Gateway,130,55.7505556,-130.9569444
1418263,Bold Bluff Point,Cape,AK,2,Aleutians East,13,55.7511111,-160.7708333
1423740,Misery Island,Island,AK,2,Wrangell,275,55.7511111,-132.2772222
1415601,Walker Creek,Stream,AK,2,Ketchikan Gateway,130,55.7530556,-130.7008333
1423273,Lemesurier Point,Cape,AK,2,Wrangell,275,55.7530556,-132.2561111
1414787,Slide Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7547222,-132.4905556
1422509,Heckman Point,Cape,AK,2,Ketchikan Gateway,130,55.7547222,-131.7991667
1418469,Crow Point,Cape,AK,2,Aleutians East,13,55.7558333,-160.6933333
1421048,Chuck Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7588889,-133.4702778
1418470,Crow Reef,Bar,AK,2,Aleutians East,13,55.7594444,-160.7213889
1421373,Davis River,Stream,AK,2,Ketchikan Gateway,130,55.7594444,-130.1758333
1418648,Gull Island,Island,AK,2,Aleutians East,13,55.7602778,-160.6922222
1424490,Point Swift,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7602778,-133.3202778
1415501,Union Bay,Bay,AK,2,Wrangell,275,55.7605556,-132.2127778
1404061,Jacob Island,Island,AK,2,Lake and Peninsula,164,55.7608333,-159.3572222
1415365,Tonowek Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7608333,-133.3697222
1414789,Slide Reef,Bar,AK,2,Prince of Wales-Hyder (CA),198,55.7613889,-133.6794444
1419904,Dasani Islands,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7625,-133.2777778
1415472,Twin Mountain,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.7627778,-133.1711111
1420810,Cannery Creek,Stream,AK,2,Wrangell,275,55.7627778,-132.1830556
1409907,South Cape,Cape,AK,2,Kodiak Island,150,55.7633333,-155.5986111
1418910,Midway Reef,Bar,AK,2,Aleutians East,13,55.7636111,-160.6947222
1418913,Mine Harbor,Bay,AK,2,Aleutians East,13,55.7636111,-160.6986111
1423728,Mink Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7642828,-133.3974899
1422507,Heceta Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7644444,-133.5319444
1415290,Thorne Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7645225,-132.7651561
1423556,Marsh Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7647222,-133.4219444
1423558,Marsh Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7650781,-133.4191792
